community,size,top_voices,voice_breakdown
0,3,"{'unknown': 2, 'decentral_individual': 1}","{'unknown': 2, 'decentral_individual': 1}"
1,154,"{'unknown': 123, 'decentral_individual': 21, 'external_individual': 8}","{'unknown': 123, 'decentral_individual': 21, 'external_individual': 8, 'former_individual': 2}"
2,31,"{'unknown': 21, 'external_individual': 6, 'decentral_individual': 3}","{'unknown': 21, 'external_individual': 6, 'decentral_individual': 3, 'decentral_institutional': 1}"
3,262,"{'unknown': 242, 'decentral_individual': 9, 'external_individual': 7}","{'unknown': 242, 'decentral_individual': 9, 'external_individual': 7, 'former_individual': 4}"
4,53,"{'unknown': 48, 'decentral_individual': 3, 'former_individual': 1}","{'unknown': 48, 'decentral_individual': 3, 'former_individual': 1, 'external_individual': 1}"
5,46,"{'unknown': 39, 'decentral_individual': 4, 'former_individual': 2}","{'unknown': 39, 'decentral_individual': 4, 'former_individual': 2, 'external_individual': 1}"
6,123,"{'unknown': 106, 'external_individual': 9, 'decentral_individual': 6}","{'unknown': 106, 'external_individual': 9, 'decentral_individual': 6, 'former_individual': 2}"
7,273,"{'unknown': 210, 'decentral_individual': 39, 'external_individual': 18}","{'unknown': 210, 'decentral_individual': 39, 'external_individual': 18, 'former_individual': 5, 'decentral_institutional': 1}"
8,100,"{'unknown': 83, 'decentral_individual': 13, 'external_individual': 3}","{'unknown': 83, 'decentral_individual': 13, 'external_individual': 3, 'former_individual': 1}"
9,135,"{'unknown': 98, 'external_individual': 17, 'decentral_individual': 17}","{'unknown': 98, 'external_individual': 17, 'decentral_individual': 17, 'former_individual': 3}"
10,91,"{'unknown': 73, 'former_individual': 6, 'external_individual': 5}","{'unknown': 73, 'former_individual': 6, 'external_individual': 5, 'decentral_individual': 4, 'decentral_institutional': 3}"
11,24,"{'unknown': 21, 'decentral_individual': 2, 'external_individual': 1}","{'unknown': 21, 'decentral_individual': 2, 'external_individual': 1}"
12,191,"{'unknown': 164, 'decentral_individual': 14, 'external_individual': 9}","{'unknown': 164, 'decentral_individual': 14, 'external_individual': 9, 'former_individual': 3, 'central_institutional': 1}"
13,2,{'unknown': 2},{'unknown': 2}
14,2,{'unknown': 2},{'unknown': 2}
15,86,"{'unknown': 61, 'external_individual': 12, 'decentral_individual': 9}","{'unknown': 61, 'external_individual': 12, 'decentral_individual': 9, 'former_individual': 4}"
16,2,"{'decentral_individual': 1, 'unknown': 1}","{'decentral_individual': 1, 'unknown': 1}"
17,2,{'unknown': 2},{'unknown': 2}
18,3,"{'unknown': 2, 'decentral_individual': 1}","{'unknown': 2, 'decentral_individual': 1}"
19,2,"{'external_individual': 1, 'unknown': 1}","{'external_individual': 1, 'unknown': 1}"
20,2,"{'decentral_individual': 1, 'unknown': 1}","{'decentral_individual': 1, 'unknown': 1}"
21,18,"{'unknown': 14, 'decentral_individual': 4}","{'unknown': 14, 'decentral_individual': 4}"
22,2,{'unknown': 2},{'unknown': 2}
23,122,"{'unknown': 103, 'decentral_individual': 13, 'external_individual': 4}","{'unknown': 103, 'decentral_individual': 13, 'external_individual': 4, 'former_individual': 2}"
24,2,{'unknown': 2},{'unknown': 2}
25,78,"{'unknown': 63, 'decentral_individual': 8, 'external_individual': 5}","{'unknown': 63, 'decentral_individual': 8, 'external_individual': 5, 'former_individual': 2}"
26,125,"{'unknown': 94, 'decentral_individual': 13, 'external_individual': 13}","{'unknown': 94, 'decentral_individual': 13, 'external_individual': 13, 'former_individual': 5}"
27,181,"{'unknown': 146, 'decentral_individual': 17, 'external_individual': 16}","{'unknown': 146, 'decentral_individual': 17, 'external_individual': 16, 'former_individual': 2}"
28,2,"{'unknown': 1, 'decentral_individual': 1}","{'unknown': 1, 'decentral_individual': 1}"
29,2,"{'unknown': 1, 'external_individual': 1}","{'unknown': 1, 'external_individual': 1}"
30,47,"{'unknown': 33, 'external_individual': 6, 'decentral_individual': 5}","{'unknown': 33, 'external_individual': 6, 'decentral_individual': 5, 'former_individual': 2, 'decentral_institutional': 1}"
31,2,{'unknown': 2},{'unknown': 2}
32,2,{'unknown': 2},{'unknown': 2}
33,18,"{'unknown': 17, 'decentral_individual': 1}","{'unknown': 17, 'decentral_individual': 1}"
34,2,{'unknown': 2},{'unknown': 2}
35,100,"{'unknown': 79, 'external_individual': 12, 'decentral_individual': 8}","{'unknown': 79, 'external_individual': 12, 'decentral_individual': 8, 'former_individual': 1}"
36,62,"{'unknown': 53, 'decentral_individual': 7, 'external_individual': 2}","{'unknown': 53, 'decentral_individual': 7, 'external_individual': 2}"
37,2,{'unknown': 2},{'unknown': 2}
