voice_type,subtype,n,mean_posts,total_posts,mean_confidence,share_pct
decentral_individual,,1,356.0,356,0.5,0.0609
decentral_individual,applicant,57,22.04,1256,0.7632,0.2149
decentral_individual,phd,39,230.18,8977,0.9,1.5363
decentral_individual,postdoc,4,6.5,26,0.85,0.0044
decentral_individual,researcher,10,41.6,416,0.89,0.0712
decentral_individual,student,452,50.13,22661,0.9305,3.8781
decentral,,3,745.33,2236,0.5,0.3827
decentral,department_or_lab,11,62.36,686,0.9182,0.1174
external_individual,,5,112.4,562,0.5,0.0962
external_individual,other,90,205.48,18493,0.55,3.1648
external_individual,phd,21,126.81,2663,0.8048,0.4557
external_individual,postdoc,3,79.33,238,0.5,0.0407
external_individual,professor,1,21.0,21,1.0,0.0036
external_individual,researcher,9,84.44,760,0.6111,0.1301
external_individual,student,327,72.26,23629,0.781,4.0437
former_individual,employee_or_alumni,6,41.67,250,0.8333,0.0428
former_individual,phd,10,82.2,822,0.66,0.1407
former_individual,professor,1,11.0,11,0.8,0.0019
former_individual,student,106,116.8,12381,0.7321,2.1188
unknown,,3318,147.04,487893,0.0039,83.4951
