voice_type,subtype,n,mean_posts,total_posts,mean_confidence,share_pct
central_institutional,,1,13.0,13,0.5,0.0406
decentral_individual,,1,356.0,356,0.5,0.0406
decentral_individual,applicant,22,13.0,286,0.7545,0.8936
decentral_individual,phd,12,272.17,3266,0.9417,0.4874
decentral_individual,postdoc,3,6.33,19,0.8,0.1219
decentral_individual,researcher,3,88.67,266,1.0,0.1219
decentral_individual,student,228,68.1,15526,0.9311,9.2608
decentral_institutional,,1,13.0,13,0.5,0.0406
decentral_institutional,department_or_lab,5,45.6,228,0.9,0.2031
external_individual,,5,112.4,562,0.5,0.2031
external_individual,other,50,210.82,10541,0.53,2.0309
external_individual,phd,12,109.17,1310,0.8,0.4874
external_individual,postdoc,1,9.0,9,0.5,0.0406
external_individual,professor,1,21.0,21,1.0,0.0406
external_individual,researcher,4,62.25,249,0.625,0.1625
external_individual,student,150,86.0,12900,0.752,6.0926
former_individual,employee_or_alumni,1,196.0,196,0.8,0.0406
former_individual,phd,5,168.6,843,0.62,0.2031
former_individual,student,50,97.92,4896,0.736,2.0309
unknown,,1907,174.14,332080,0.0038,77.4574
