voice_type,subtype,n,mean_posts,total_posts,mean_confidence,share_pct
decentral_individual,applicant,29,3.45,100,0.7793,1.0797
decentral_individual,phd,21,3.14,66,0.9,0.7818
decentral_individual,postdoc,1,1.0,1,1.0,0.0372
decentral_individual,researcher,6,6.5,39,0.8833,0.2234
decentral_individual,student,224,5.19,1162,0.9335,8.3395
decentral_institutional,,3,18.0,54,0.5,0.1117
decentral_institutional,department_or_lab,3,1.33,4,0.9333,0.1117
external_individual,other,36,3.47,125,0.5583,1.3403
external_individual,phd,6,2.17,13,0.9,0.2234
external_individual,postdoc,1,1.0,1,0.5,0.0372
external_individual,researcher,1,5.0,5,1.0,0.0372
external_individual,student,140,3.36,470,0.8179,5.2122
former_individual,employee_or_alumni,5,1.4,7,0.84,0.1862
former_individual,phd,5,7.2,36,0.66,0.1862
former_individual,professor,1,1.0,1,0.8,0.0372
former_individual,student,49,4.45,218,0.7429,1.8243
unknown,,2155,3.79,8176,0.0037,80.2308
