source_voice,target_voice,interaction_type,edge_count,total_weight,fraction_of_source_total
decentral,external_individual,inter-voice,109,224.0,0.46138
decentral,decentral_individual,inter-voice,110,179.5,0.369722
decentral,former_individual,inter-voice,36,72.0,0.148301
decentral,decentral,intra-voice,5,10.0,0.020597
decentral_individual,external_individual,inter-voice,871,1599.0,0.450296
decentral_individual,decentral_individual,intra-voice,903,1469.5,0.413827
decentral_individual,former_individual,inter-voice,216,325.0,0.091524
decentral_individual,decentral,inter-voice,93,157.5,0.044354
external_individual,external_individual,intra-voice,1271,2672.0,0.520756
external_individual,decentral_individual,inter-voice,885,1623.0,0.316313
external_individual,former_individual,inter-voice,353,621.0,0.121029
external_individual,decentral,inter-voice,103,215.0,0.041902
former_individual,external_individual,inter-voice,373,654.0,0.526146
former_individual,decentral_individual,inter-voice,263,412.0,0.331456
former_individual,former_individual,intra-voice,78,110.0,0.088496
former_individual,decentral,inter-voice,36,67.0,0.053902
