voice_type,subtype,n,mean_posts,total_posts,mean_confidence,share_pct
decentral_individual,applicant,31,30.81,955,0.7742,1.1541
decentral_individual,phd,30,195.87,5876,0.8867,1.1169
decentral_individual,postdoc,1,7.0,7,1.0,0.0372
decentral_individual,researcher,8,42.75,342,0.8625,0.2978
decentral_individual,student,247,42.63,10529,0.9324,9.1958
decentral_institutional,,3,745.33,2236,0.5,0.1117
decentral_institutional,department_or_lab,6,76.33,458,0.9333,0.2234
external_individual,other,37,227.92,8433,0.573,1.3775
external_individual,phd,11,127.73,1405,0.8091,0.4095
external_individual,postdoc,2,114.5,229,0.5,0.0745
external_individual,researcher,4,127.5,510,0.625,0.1489
external_individual,student,188,63.65,11967,0.8,6.9993
former_individual,employee_or_alumni,5,10.8,54,0.84,0.1862
former_individual,phd,7,66.43,465,0.6857,0.2606
former_individual,professor,1,11.0,11,0.8,0.0372
former_individual,student,54,156.22,8436,0.7241,2.0104
unknown,,2051,126.56,259579,0.0042,76.3589
