community,size,top_voices,mean_followers
0,127,"{'non_uzh': 33, 'decentral_individual': 9, 'unknown': 5}",2389.450980392157
1,102,"{'non_uzh': 21, 'decentral_individual': 8, 'decentral_institutional': 3}",5081.171428571429
2,144,"{'non_uzh': 32, 'decentral_individual': 15, 'decentral_institutional': 3}",2067.9615384615386
3,119,"{'non_uzh': 28, 'decentral_individual': 5, 'decentral_institutional': 3}",3880.4210526315787
4,70,"{'non_uzh': 21, 'decentral_individual': 6, 'decentral_institutional': 3}",44181.4
5,40,"{'non_uzh': 11, 'decentral_individual': 5}",4661.125
6,25,"{'non_uzh': 3, 'decentral_individual': 2}",193.8
7,45,"{'non_uzh': 11, 'decentral_institutional': 2, 'official_institutional': 2}",3262.823529411765
8,82,"{'non_uzh': 14, 'decentral_individual': 5, 'decentral_institutional': 1}",3230.75
9,15,"{'non_uzh': 3, 'decentral_institutional': 1}",2221.5
10,2,{'decentral_individual': 1},481.0
11,36,"{'non_uzh': 8, 'decentral_individual': 2}",1944.6
12,47,"{'non_uzh': 13, 'decentral_institutional': 2, 'decentral_individual': 1}",535.625
13,2,{'non_uzh': 2},157.0
14,59,"{'non_uzh': 18, 'decentral_individual': 11, 'decentral_institutional': 3}",7564.941176470588
15,97,"{'non_uzh': 21, 'decentral_individual': 15, 'former_individual': 1}",1625.027027027027
16,45,"{'non_uzh': 9, 'decentral_individual': 7, 'decentral_institutional': 1}",1860.3333333333333
17,10,"{'non_uzh': 2, 'decentral_institutional': 1}",5119.0
18,44,"{'non_uzh': 10, 'decentral_individual': 5, 'decentral_institutional': 3}",882.4444444444445
19,15,"{'non_uzh': 3, 'decentral_individual': 2, 'decentral_institutional': 1}",773.3333333333334
20,14,"{'non_uzh': 8, 'unknown': 2}",3868.0
21,14,"{'non_uzh': 2, 'unknown': 1, 'decentral_institutional': 1}",1446.0
22,3,"{'decentral_individual': 1, 'non_uzh': 1}",5818.0
23,2,{},
24,3,{},
25,2,{'non_uzh': 1},341.0
26,2,{},
27,3,{},
28,2,{},
29,4,{'non_uzh': 1},2632.0
30,2,{'non_uzh': 2},412.5
31,3,{'decentral_individual': 1},925.0
32,2,{'non_uzh': 1},729.0
33,13,"{'decentral_individual': 4, 'non_uzh': 3, 'decentral_institutional': 1}",463.25
34,2,"{'decentral_individual': 1, 'non_uzh': 1}",139.5
35,4,{'non_uzh': 1},31662.0
36,2,{},
37,4,"{'decentral_individual': 1, 'non_uzh': 1}",2752.0
38,23,"{'decentral_individual': 3, 'non_uzh': 3}",1103.1666666666667
39,2,"{'decentral_individual': 1, 'non_uzh': 1}",576.5
40,2,{},
41,3,{'non_uzh': 1},1034.0
42,139,"{'non_uzh': 36, 'decentral_individual': 12, 'decentral_institutional': 1}",6077.2040816326535
43,2,{},
44,3,{'decentral_individual': 1},64.0
45,2,"{'decentral_individual': 1, 'non_uzh': 1}",241.0
46,2,{'decentral_individual': 1},205.0
47,2,{'non_uzh': 1},1153.0
48,2,{'decentral_individual': 2},140.0
49,2,"{'decentral_individual': 1, 'non_uzh': 1}",1104.5
50,3,{'non_uzh': 2},1045.0
51,3,{'non_uzh': 1},430.0
52,3,{'non_uzh': 1},9025.0
