community,size,top_voices,mean_followers
0,77,"{'decentral_individual': 14, 'unknown': 10, 'decentral_institutional': 4}",494.875
1,68,"{'decentral_individual': 16, 'decentral_institutional': 7, 'unknown': 3}",1552.6296296296296
2,14,"{'decentral_institutional': 4, 'decentral_individual': 2}",924.5
3,32,"{'decentral_individual': 9, 'decentral_institutional': 3}",1292.5833333333333
4,11,{'decentral_individual': 3},1894.0
5,14,"{'official_institutional': 3, 'decentral_institutional': 1, 'decentral_individual': 1}",83.8
6,5,{'decentral_institutional': 1},806.0
7,9,{'decentral_individual': 2},290.5
8,26,"{'decentral_individual': 12, 'decentral_institutional': 2, 'unknown': 1}",1189.5333333333333
9,4,"{'unknown': 1, 'decentral_institutional': 1}",1496.5
10,24,"{'decentral_individual': 5, 'decentral_institutional': 1}",1009.6666666666666
11,16,"{'decentral_individual': 6, 'decentral_institutional': 1, 'unknown': 1}",900.0
12,22,{'decentral_individual': 11},467.45454545454544
13,2,{'decentral_individual': 1},925.0
14,7,"{'decentral_institutional': 1, 'decentral_individual': 1}",576.0
15,2,{},
16,7,"{'decentral_individual': 1, 'decentral_institutional': 1}",564.0
17,7,"{'decentral_institutional': 2, 'decentral_individual': 1}",375.3333333333333
18,2,{'decentral_individual': 1},205.0
19,7,{'decentral_institutional': 1},412.0
20,4,"{'decentral_individual': 1, 'decentral_institutional': 1}",647.5
21,2,{'decentral_individual': 1},1005.0
22,3,{'decentral_individual': 1},263.0
23,2,{'decentral_individual': 2},140.0
24,2,{'decentral_individual': 2},462.5
25,2,{'decentral_individual': 1},252.0
