voice_type,subtype,n,mean_followers,total_followers,mean_tweets,total_tweets,share_pct
central_institutional,,8,317.5,2540,1155.25,9242,0.030529690123645245
decentral_individual,phd,202,161.37623762376236,32598,836.3811881188119,168949,0.7708746756220425
decentral_individual,professor,133,1629.4135338345864,216712,1912.7593984962407,254397,0.5075560983056022
decentral_individual,postdoc,126,323.6904761904762,40785,733.8571428571429,92466,0.48084261944741263
decentral_individual,researcher,115,320.0782608695652,36809,543.6260869565217,62517,0.4388642955274004
decentral_individual,student,69,37.507246376811594,2588,185.55072463768116,12803,0.26331857731644026
decentral_individual,,4,191.5,766,193.0,772,0.015264845061822623
decentral_individual,employee_or_alumni,1,52.0,52,90.0,90,0.0038162112654556556
decentral_institutional,department_or_lab,138,543.5579710144928,75011,334.30434782608694,46134,0.5266371546328805
decentral_institutional,,3,445.0,1335,308.6666666666667,926,0.011448633796366967
former_individual,researcher,3,185.66666666666666,557,749.3333333333334,2248,0.011448633796366967
former_individual,professor,2,682.0,1364,1218.5,2437,0.007632422530911311
former_individual,employee_or_alumni,1,454.0,454,401.0,401,0.0038162112654556556
former_individual,postdoc,1,1171.0,1171,115.0,115,0.0038162112654556556
non_uzh,,25344,1468.9106297348485,37228071,3156.927122790404,80009161,96.71805831170813
official_individual,,1,1006.0,1006,71.0,71,0.0038162112654556556
official_institutional,,4,6973.25,27893,1534.0,6136,0.015264845061822623
unknown,,49,1213.3061224489795,59452,1182.5102040816328,57943,0.1869943520073271
