voice_type,subtype,n,mean_followers,total_followers,mean_tweets,total_tweets,share_pct
central_institutional,administrative_body,5,112.2,561,193.6,968,0.5813953488372093
decentral_individual,phd,149,219.53691275167785,32711,1060.5906040268455,158028,17.325581395348838
decentral_individual,postdoc,60,400.05,24003,1153.7666666666667,69226,6.976744186046512
decentral_individual,professor,54,1865.037037037037,100712,2016.4259259259259,108887,6.27906976744186
decentral_individual,researcher,36,439.72222222222223,15830,770.25,27729,4.186046511627907
decentral_individual,student,24,46.5,1116,209.875,5037,2.7906976744186047
decentral_institutional,department_or_lab,278,641.3201438848921,178287,672.2158273381295,186876,32.325581395348834
former_individual,employee_or_alumni,20,390.25,7805,792.7,15854,2.3255813953488373
former_individual,postdoc,13,324.46153846153845,4218,426.15384615384613,5540,1.5116279069767442
former_individual,phd,10,686.8,6868,947.6,9476,1.1627906976744187
former_individual,professor,10,7343.0,73430,9126.5,91265,1.1627906976744187
former_individual,researcher,1,1036.0,1036,351.0,351,0.11627906976744186
former_individual,student,1,60.0,60,17.0,17,0.11627906976744186
former_institutional,unit,30,360.6666666666667,10820,345.6333333333333,10369,3.488372093023256
unknown,,169,563.0355029585799,95153,678.6863905325444,114698,19.651162790697676
